feature_id,ac_id,tc_id,status
F001,AC001,TC001,Linked
F002,AC002,TC002,Linked
F003,AC003,TC003,Linked
F004,AC004,TC004,Broken
F005,AC005,TC005,Linked
GH-2014,AC-GH2014-01,TC-GH2014-01,Linked
GH-2014,AC-GH2014-01,TC-GH2014-05,Linked
GH-2014,AC-GH2014-02,TC-GH2014-02,Linked
GH-2014,AC-GH2014-03,TC-GH2014-03,Linked
GH-2014,AC-GH2014-04,TC-GH2014-06,Linked
GH-2014,AC-GH2014-05,TC-GH2014-07,Linked
GH-2014,AC-GH2014-06,TC-GH2014-08,Linked
GH-2014,AC-GH2014-07,TC-GH2014-09,Linked
GH-2014,AC-GH2014-08,TC-GH2014-10,Linked
